,,,,PRODUCTO,,,,,,,,COSTO,,,,PRECIO,,,PROYECCION,,,,,,,VENTA REAL,,,,
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,PENDIENTE,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
NH31584911,OK,NIHAOJEWELRY,08/05/2024,14/05/2024,TIPO REJA,ACERO,MUJER,PLATA,$11.47,$0.20,$0.08,$0.05,,$11.80,$59.00,100,,$11.80,$44.12,,,,,,,$11.80,-$5.90,-$1.77,-$4.13,$0.00
NH30282665,OK,NIHAOJEWELRY,08/05/2024,14/05/2024,LISO DORADO,ACERO,HOMBRE,ORO,$7.51,$0.20,$0.08,$0.05,,$7.84,$39.20,50,,$7.84,$21.10,,,,18/05/2025,MULTI,100,$7.84,$46.08,$13.82,$32.26,$100.00
NH30282665,OK,NIHAOJEWELRY,08/05/2024,14/05/2024,PLATA,ACERO,HOMBRE,AZUL,$7.51,$0.20,$0.08,$0.05,,$7.84,$39.20,50,,$7.84,$21.10,,,,,,,$7.84,-$3.92,-$1.18,-$2.74,$0.00
NH30282665,OK,NIHAOJEWELRY,08/05/2024,14/05/2024,LISO AZUL,ACERO,HOMBRE,AZUL,$7.51,$0.20,$0.08,$0.05,,$7.84,$39.20,50,,$7.84,$21.10,,,,,,,$7.84,-$3.92,-$1.18,-$2.74,$0.00
NHGU1493312,OK,NIHAOJEWELRY,11/06/2024,15/06/2024,ANILLO ACRILICO MORADO,ACRILICO,MUJER,MORADO,$11.04,$0.20,$0.08,$0.05,,$11.37,$56.85,60,,$11.37,$24.33,,,,,,,$11.37,-$5.69,-$1.71,-$3.98,$0.00
NHGU1493312,PENDIENTE,NIHAOJEWELRY,11/06/2024,15/06/2024,ANILLO ACRILICO BLANCO,ACRILICO,MUJER,BLANCO,$11.04,$0.20,$0.08,$0.05,,$11.37,$56.85,60,,$11.37,$24.33,,,,,,,$11.37,-$5.69,-$1.71,-$3.98,$0.00
,OK,RESAGADO,23/06/2024,21/06/2024,CONEJO,ACERO,MUJER,NEGRO,$5.00,$0.20,$0.08,$0.05,,$5.33,$26.65,80,,$5.33,$37.35,,,,,,,$5.33,-$2.67,-$0.80,-$1.87,$0.00
NH32321151,OK,NIHAOJEWELRY,11/04/2024,15/04/2024,CIRCULO CON PALO ATRAVESADO,ACERO,MUJER,ORO,$14.51,$0.20,$0.08,$0.05,,$14.84,$74.20,120,,$14.84,$52.60,,,,,,,$14.84,-$7.42,-$2.23,-$5.19,$0.00
NH32321151,OK,NIHAOJEWELRY,11/04/2024,15/04/2024,CIRCULO CON PALO ATRAVESADO,ACERO,MUJER,PLATA,$14.51,$0.20,$0.08,$0.05,,$14.84,$74.20,120,,$14.84,$52.60,,,,,,,$14.84,-$7.42,-$2.23,-$5.19,$0.00
,OK,HAO CHENG,06/11/2024,06/11/2024,ANILLO CENTRO,ACERO,MUJER,ORO,$28.00,$0.20,$0.08,$0.05,,$28.33,$141.65,150,,$28.33,$85.84,,,,01/05/2025,FARO,130,$28.33,$50.84,$15.25,$35.58,$130.00
,OK,HAO CHENG,06/11/2024,06/11/2024,ANILLO CENTRO,ACERO,MUJER,ORO,$28.00,$0.20,$0.08,$0.05,,$28.33,$141.65,150,,$28.33,$85.84,,,,07/05/2025,PUERTO,100,$28.33,$35.84,$10.75,$25.08,$100.00
,OK,HAO CHENG,06/11/2024,06/11/2024,ANILLO CENTRO,ACERO,MUJER,ORO,$28.00,$0.20,$0.08,$0.05,,$28.33,$141.65,150,,$28.33,$85.84,,,,14/05/2025,FARO,133,$28.33,$52.34,$15.70,$36.63,$133.00
,OK,HAO CHENG,06/11/2024,06/11/2024,ANILLO CENTRO,ACERO,MUJER,ORO,$28.00,$0.20,$0.08,$0.05,,$28.33,$141.65,150,,$28.33,$85.84,,,,16/05/2025,MULTI,150,$28.33,$60.84,$18.25,$42.58,$150.00
,OK,HAO CHENG,06/11/2024,06/11/2024,ANILLO CENTRO,ACERO,MUJER,ORO,$28.00,$0.20,$0.08,$0.05,,$28.33,$141.65,150,,$28.33,$85.84,,,,16/05/2025,MULTI,150,$28.33,$60.84,$18.25,$42.58,$150.00
,OK,HAO CHENG,06/11/2024,06/11/2024,ANILLO CENTRO,ACERO,MUJER,ORO,$28.00,$0.20,$0.08,$0.05,,$28.33,$141.65,150,,$28.33,$85.84,,,,17/05/2025,MULTI,150,$28.33,$60.84,$18.25,$42.58,$150.00
,OK,HAO CHENG,06/11/2024,06/11/2024,ANILLO CENTRO,ACERO,MUJER,ORO,$28.00,$0.20,$0.08,$0.05,,$28.33,$141.65,150,,$28.33,$85.84,,,,17/05/2025,MULTI,150,$28.33,$60.84,$18.25,$42.58,$150.00
MX37290642,OK,NIHAOJEWELRY,26/11/2024,02/12/2024,CIRCULO GRANDE CON LÍNEA,ACERO,MUJER,ORO,$23.21,$0.20,$0.08,$0.05,,$23.54,$117.70,150,,$23.54,$63.23,,,,,,,$23.54,-$11.77,-$3.53,-$8.24,$0.00
MX37290642,OK,NIHAOJEWELRY,26/11/2024,02/12/2024,CIRCULO GRANDE CON LÍNEA,ACERO,MUJER,ORO,$23.21,$0.20,$0.08,$0.05,,$23.54,$117.70,150,,$23.54,$63.23,,,,,,,$23.54,-$11.77,-$3.53,-$8.24,$0.00
MX37672065,OK,NIHAOJEWELRY,26/11/2024,02/12/2024,CIRCULO GRANDE,ACERO,MUJER,ORO,$29.49,$0.20,$0.08,$0.05,,$29.82,$149.10,150,,$29.82,$60.09,,,,,,,$29.82,-$14.91,-$4.47,-$10.44,$0.00
MX34136720,OK,NIHAOJEWELRY,26/11/2024,02/12/2024,LISO ANCHO CON LINEAS,ACERO,MUJER,ORO,$21.27,$0.20,$0.08,$0.05,,$21.60,$108.00,120,,$21.60,$49.20,,,,,,,$21.60,-$10.80,-$3.24,-$7.56,$0.00
MX39826064,OK,NIHAOJEWELRY,26/11/2024,02/12/2024,CRUZ CON BRILLANTES CIRCULARES,ACERO,MUJER,PLATA,$16.92,$0.20,$0.08,$0.05,,$17.25,$86.25,120,,$17.25,$51.38,,,,,,,$17.25,-$8.63,-$2.59,-$6.04,$0.00
MX33098078,PENDIENTE,NIHAOJEWELRY,26/11/2024,02/12/2024,CORAZONES HUECOS,ACERO,MUJER,PLATA,9.19,$0.20,$0.08,$0.05,,$9.52,$47.60,120,,$9.52,$55.24,,,,,,,$9.52,-$4.76,-$1.43,-$3.33,$0.00
MX33859004,OK,NIHAOJEWELRY,26/11/2024,02/12/2024,CRUZ CON BOLITAS,ACERO,MUJER,ORO,21.27,$0.20,$0.08,$0.05,,$21.60,$108.00,120,,$21.60,$49.20,,,,,,,$21.60,-$10.80,-$3.24,-$7.56,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,18/05/2025,MULTI,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,18/05/2025,MULTI,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,21/05/2025,FARO,150,$25.33,$62.34,$18.70,$43.63,$150.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,23/05/2025,CRITERIUM,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,29/05/2025,FARO,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,29/05/2025,FARO,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,31/05/2025,TAJAMAR,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,31/05/2025,TAJAMAR,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,31/05/2025,TAJAMAR,100,$25.33,$37.34,$11.20,$26.13,$100.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,07/06/2025,ULTRAMAR,150,$25.33,$62.34,$18.70,$43.63,$150.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,08/06/2025,TIANGUIS,120,$25.33,$47.34,$14.20,$33.13,$120.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
